공고번호,지역,회사명,공고제목,기술스택/분야,마감일
53934091,서울,데이터퓨처테크놀로지 주식회사,인프라 엔지니어 (네트워크/시스템 운영),"네트워크, 인프라, 솔루션업체 등록일 26/05/19",~ 06/18(목)
53750036,서울,관악아날로그(주),Test Engineer (ATE),"QA/테스터, MCU, QA, QC, 기술엔지니어 외                    수정일 26/05/19",채용시
53934086,서울,(주)상상솔루션,(주)상상솔루션 SI/NI 영업 담당자 경력 채용 공고,"네트워크, 통신 등록일 26/05/19",~ 06/18(목)
53814146,서울,(주)키글,키즈 모바일 게임 앱 서비스 기획자 모집,"게임개발, 앱개발, AI(인공지능), Excel, PhotoShop 외                    수정일 26/05/07",~ 05/25(월)
53451689,서울,(주)비바리퍼블리카,[토스페이먼츠] Data Engineer 하반기 합류 전형,"데이터분석가, 데이터엔지니어, SE(시스템엔지니어), RDBMS, Apache 외                    수정일 26/05/14",~ 05/24(일)
53934072,서울,레코피스(주),[강남 차량운행] SK텔레콤 공식 대리점 PC /주변기기 유지보수,"기술지원, 유지보수, H/W, Windows, 정비기사 외                    등록일 26/05/19",~ 05/29(금)
53889939,서울,(주)덴츠크리에이티브코리아,[외국계광고] dentsu그룹 SEM Manager 채용 (대리급),"데이터분석가, 검색엔진, Python, SQL, 마케팅기획 외                    수정일 26/05/14",~ 06/11(목)
53934047,서울,(주)위17,모바일 필드 테스트 엔지니어,"QA/테스터, 정보통신, SQA, 소프트웨어개발 등록일 26/05/19",~ 07/18(토)
53933897,서울,(주)메디트,[MEDIT] Data & BI Team Leader,"데이터분석가, 데이터라벨링, 데이터마이닝, 데이터시각화, 전략기획 외                    수정일 26/05/19",~ 06/17(수)
53933995,서울,(주)델레오코리아,[델레오코리아] 프론트엔드 개발자 채용,"프론트엔드, API, AWS, Git, Java 외                    등록일 26/05/19",채용시
53933984,서울,파워에이치알,[ 마포구 ] DCS 또는 PLC 경력 시스템 엔지니어 채용,"SE(시스템엔지니어), 기술엔지니어, 설계엔지니어, 시스템설계, 전장설계 외                    수정일 26/05/19",채용시
53933886,서울,(주)아이쿱,[아이쿱] 헬스케어 프론트엔드 및 백엔드 개발자 모집,"백엔드/서버개발, 프론트엔드, 소프트웨어개발 등록일 26/05/19",~ 07/03(금)
53933885,서울,(주)상상솔루션,네트워크 엔지니어 경력 모집,"기술지원, 통신 수정일 26/05/19",~ 06/18(목)
53933882,서울,(주)커리어넷,2026년 한국보건의료정보원 제3차 직원채용 공고,"빅데이터, 보건의료정보관리사, 연구원, AI(인공지능), 취업포털 수정일 26/05/19",~ 06/01(월)
53933866,서울,글로벌서치,스마트팩토리 회로설계,"MCU, 전장설계, 회로설계, SMT, 스마트팩토리 외                    등록일 26/05/19",~ 06/03(수)
